Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_msstreamed,weak,2,2097152,262144,25.6288,1099.77
threaded,weak,2,2097152,262144,284.839,1088.43
threaded,weak,2,18432,262144,293.802,9.83806
threaded,weak,2,33554432,262144,280.768,16978.3
threaded,strong,2,16777216,262144,269.91,8561.42
threaded,strong,2,1048576,262144,293.754,558.982
streamed,strong,2,1048576,262144,24.9478,540.724
threaded,strong,2,1048576,262144,313.48,561.493
streamed,weak,2,2097152,262144,24.9355,1074.75
streamed,weak,2,8388608,262144,25.2994,4330.79
threaded,strong,2,16777216,262144,275.254,8556.55
threaded,strong,2,16777216,262144,339.393,8557.56
threaded,strong,2,16777216,262144,276.721,8582.23
threaded,strong,2,67108864,262144,312.487,34385.9
threaded,weak,2,134217728,262144,285.499,68999.2
threaded,strong,2,67108864,262144,286.528,34430.9
threaded,strong,1,1048576,262144,209.861,1066.67
threaded,strong,2,33554432,262144,278.288,16951.4
threaded,weak,2,67108864,262144,301.263,34433.9
streamed,strong,1,262144,262144,3.8328,274.159
streamed,strong,1,262144,262144,3.37464,260.208
streamed,strong,1,262144,262144,3.46401,261.34
streamed,strong,1,262144,262144,3.36357,259.882
streamed,strong,1,262144,262144,23.8008,260.532
streamed,strong,1,262144,262144,24.8824,261.73
threaded,strong,1,262144,262144,122.668,287.395
threaded,strong,1,262144,262144,112.507,260.211
threaded,strong,1,262144,262144,113.255,260.583
threaded,strong,1,262144,262144,111.815,260.672
threaded,strong,1,262144,262144,191.076,260.58
threaded,strong,1,262144,262144,200.156,261.591
streamed,weak,1,262144,262144,3.35539,260.774
streamed,weak,1,262144,262144,3.39154,259.867
streamed,weak,1,262144,262144,3.34602,260.809
streamed,weak,1,262144,262144,3.34468,261.461
streamed,weak,1,262144,262144,23.8219,260.966
streamed,weak,1,262144,262144,24.5663,261.868
threaded,weak,1,262144,262144,115.514,260.314
threaded,weak,1,262144,262144,112.649,260.61
threaded,weak,1,262144,262144,112.513,260.754
