Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
baseline
streamed,strong,1,1048576,262144,30.5375,2697.39
memAdvise
streamed,strong,1,1048576,262144,31.2899,2697.58
streamed,strong,1,1048576,262144,30.1804,2695.05
streamed,strong,1,1048576,262144,29.7719,2690.57
streamed,strong,1,1048576,262144,29.1549,2670.65
streamed,strong,1,1048576,262144,29.9483,2877.26

NOW:
streamed,strong,1,1048576,262144,29.9494,2684.63
W/O:
streamed,strong,1,1048576,262144,29.9277,2690.37
streamed,strong,1,1048576,262144,9.34257,2693.68
streamed,strong,1,1048576,262144,8.71026,2671.75
streamed,strong,1,1048576,262144,8.69112,2671.41
streamed,strong,1,1048576,262144,8.66747,2671.33
streamed,strong,1,1048576,262144,8.68725,2671.07
streamed,strong,1,1048576,262144,8.62395,2676.06
streamed,strong,1,1048576,262144,8.78824,2671.66
streamed,strong,1,1048576,262144,8.62614,2669.09
streamed,strong,1,1048576,262144,8.62037,2672.91
streamed,strong,1,1048576,262144,8.52637,2671.41
streamed,strong,1,1048576,262144,8.82166,2673.38
streamed,strong,1,1048576,262144,8.74457,2671.78
streamed,strong,1,1048576,262144,11.9701,3020.42
streamed,strong,1,1048576,262144,8.91855,2671.86
streamed,strong,1,1048576,262144,8.84083,2673.73
streamed,strong,1,1048576,262144,8.64844,3040.93
streamed,strong,1,1048576,262144,8.60717,2678.04
streamed,strong,1,1048576,262144,8.76928,2676.76
streamed,strong,1,1048576,262144,8.58427,2673.8
streamed,strong,1,1048576,262144,8.58217,2673.43
streamed,strong,1,1048576,262144,8.8335,2673.75
streamed,strong,1,1048576,262144,20.8619,2893.05
streamed,strong,1,1048576,262144,8.37705,2673.29
streamed,strong,1,1048576,262144,8.68292,2679.6
streamed,strong,1,1048576,262144,29.3514,2674.8
streamed,strong,1,1048576,262144,9.50898,2689.01
streamed,strong,1,1048576,262144,8.59216,2669.84
streamed,strong,1,1048576,262144,8.64213,2671.54
streamed,strong,1,1048576,262144,8.68778,2670.07
streamed,strong,1,1048576,262144,8.71467,2673.83
streamed,strong,1,1048576,262144,8.90781,2669.36
streamed,strong,1,1048576,262144,8.62374,2668.98
streamed,strong,1,1048576,262144,8.61271,2672.71
streamed,strong,1,1048576,262144,8.74586,2673.49
streamed,strong,1,1048576,262144,8.73906,2672.21
streamed,strong,1,1048576,262144,8.70058,2672.02
streamed,strong,1,1048576,262144,8.7153,2671.58
streamed,strong,1,1048576,262144,29.3783,2672.8
streamed,strong,1,1048576,262144,8.78852,2685.83
streamed,strong,1,1048576,262144,8.16635,2676.17
streamed,strong,1,1048576,262144,8.18686,2670.33
streamed,strong,1,1048576,262144,8.11796,2672.3
streamed,strong,1,1048576,262144,8.10378,2677.61
streamed,strong,1,1048576,262144,8.09796,2680.39
streamed,strong,1,1048576,262144,7.99545,2669.51
streamed,strong,1,1048576,262144,8.19544,2672.65
streamed,strong,1,1048576,262144,8.12955,2673.58
streamed,strong,1,1048576,262144,8.11446,2672.28
streamed,strong,1,1048576,262144,8.17961,2671.94
streamed,strong,1,1048576,262144,8.13268,2671.22
streamed,strong,1,1048576,262144,28.7989,2672.57
streamed,strong,1,1048576,262144,9.50264,2695.12
streamed,strong,1,1048576,262144,8.8582,2668.85
streamed,strong,1,1048576,262144,8.61142,2666.98
streamed,strong,1,1048576,262144,8.64336,2676.37
streamed,strong,1,1048576,262144,8.73652,2671.08
streamed,strong,1,1048576,262144,8.72615,2670.48
streamed,strong,1,1048576,262144,8.67371,2672.33
streamed,strong,1,1048576,262144,8.71789,2671.11
streamed,strong,1,1048576,262144,8.70468,2668.64
streamed,strong,1,1048576,262144,8.73941,2675.48
streamed,strong,1,1048576,262144,8.64165,2671.94
streamed,strong,1,1048576,262144,8.71123,2671.63
streamed,strong,1,1048576,262144,29.3838,2692.27
streamed,strong,1,1048576,262144,9.28089,2689.65
streamed,strong,1,1048576,262144,8.65918,2669.05
streamed,strong,1,1048576,262144,8.53583,2676.84
streamed,strong,1,1048576,262144,8.61844,2671.96
streamed,strong,1,1048576,262144,8.5704,2673.76
streamed,strong,1,1048576,262144,8.61986,2669.3
streamed,strong,1,1048576,262144,8.81858,2670.9
streamed,strong,1,1048576,262144,8.56284,2672.08
streamed,strong,1,1048576,262144,8.82053,2669.83
streamed,strong,1,1048576,262144,8.5752,2676.99
streamed,strong,1,1048576,262144,8.48682,2670.57
streamed,strong,1,1048576,262144,8.59453,2671
streamed,strong,1,1048576,262144,29.1821,2673.42
streamed,strong,1,1048576,262144,9.07744,2678.86
streamed,strong,1,1048576,262144,8.59731,2670.49
streamed,strong,1,1048576,262144,8.67599,2672.3
streamed,strong,1,1048576,262144,8.7126,2670.8
streamed,strong,1,1048576,262144,8.66761,2670.44
streamed,strong,1,1048576,262144,8.61701,2670.17
streamed,strong,1,1048576,262144,8.69719,2682.83
streamed,strong,1,1048576,262144,8.57158,2672.74
streamed,strong,1,1048576,262144,8.64474,2673.45
streamed,strong,1,1048576,262144,8.7155,2673.25
streamed,strong,1,1048576,262144,8.60313,2673.18
streamed,strong,1,1048576,262144,8.52404,2672.46
streamed,strong,1,1048576,262144,29.2547,2673.26
streamed,strong,1,1048576,262144,9.4128,2693.94
streamed,strong,1,1048576,262144,8.5276,2669.01
streamed,strong,1,1048576,262144,8.64164,2670.65
streamed,strong,1,1048576,262144,8.78501,2671.91
streamed,strong,1,1048576,262144,8.65257,2669.19
streamed,strong,1,1048576,262144,8.56505,2670.72
streamed,strong,1,1048576,262144,8.65452,2671.36
streamed,strong,1,1048576,262144,8.69287,2671.76
streamed,strong,1,1048576,262144,8.67472,2670.94
streamed,strong,1,1048576,262144,8.58161,2670.94
streamed,strong,1,1048576,262144,8.78631,2671.25
streamed,strong,1,1048576,262144,8.69768,2671.72
streamed,strong,1,1048576,262144,29.3644,2673.83
streamed,strong,1,1048576,262144,9.53164,2692.93
streamed,strong,1,1048576,262144,8.70412,2672.96
streamed,strong,1,1048576,262144,8.63934,2672.38
streamed,strong,1,1048576,262144,8.77431,2675.46
streamed,strong,1,1048576,262144,8.75537,2673.08
streamed,strong,1,1048576,262144,8.65323,2673.95
streamed,strong,1,1048576,262144,8.63543,2673.83
streamed,strong,1,1048576,262144,8.63293,2673.46
streamed,strong,1,1048576,262144,8.84327,2672.29
streamed,strong,1,1048576,262144,8.69336,2674.72
streamed,strong,1,1048576,262144,8.70914,2674.26
streamed,strong,1,1048576,262144,8.80492,2673.97
streamed,strong,1,1048576,262144,29.2868,2673.54
streamed,strong,1,1048576,262144,9.71805,2687.84
streamed,strong,1,1048576,262144,8.71977,2672.17
streamed,strong,1,1048576,262144,8.65147,2672.63
streamed,strong,1,1048576,262144,8.67615,2674.59
streamed,strong,1,1048576,262144,8.61196,2670.86
streamed,strong,1,1048576,262144,8.52566,2671.76
streamed,strong,1,1048576,262144,8.57141,2673.56
streamed,strong,1,1048576,262144,8.6717,2674.49
streamed,strong,1,1048576,262144,8.7378,2673.34
streamed,strong,1,1048576,262144,8.70583,2736.24
streamed,strong,1,1048576,262144,8.60537,2673.13
streamed,strong,1,1048576,262144,8.75216,2672.3
streamed,strong,1,1048576,262144,29.2385,2675.54
streamed,strong,1,1048576,262144,9.42224,2697.3
streamed,strong,1,1048576,262144,8.4601,2674.12
streamed,strong,1,1048576,262144,8.66049,2673.37
streamed,strong,1,1048576,262144,9.44145,2673.96
streamed,strong,1,1048576,262144,8.76635,2674.14
streamed,strong,1,1048576,262144,8.67016,2673.18
streamed,strong,1,1048576,262144,9.3392,2673.59
streamed,strong,1,1048576,262144,8.71783,2673.28
streamed,strong,1,1048576,262144,8.65908,2677.28
streamed,strong,1,1048576,262144,8.86947,2674.7
streamed,strong,1,1048576,262144,8.46041,2673.17
streamed,strong,1,1048576,262144,9.19973,2672.82
streamed,strong,1,1048576,262144,29.2839,2674.1
streamed,strong,1,1048576,262144,9.30852,2618.15
streamed,strong,1,1048576,262144,8.64587,2670.7
streamed,strong,1,1048576,262144,8.60837,2671.03
streamed,strong,1,1048576,262144,9.48276,2671.53
streamed,strong,1,1048576,262144,8.67191,2672.65
streamed,strong,1,1048576,262144,8.72741,2670.76
streamed,strong,1,1048576,262144,9.25576,2671.78
streamed,strong,1,1048576,262144,8.66755,2668.99
streamed,strong,1,1048576,262144,8.83175,2677.12
