Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_msstreamed,strong,1,262144,262144,7.33618,285.023
streamed,strong,1,262144,262144,6.99377,258.486
streamed,strong,1,262144,262144,6.94321,258.456
streamed,strong,1,262144,262144,7.2345,258.407
streamed,strong,1,262144,262144,28.2616,259.041
streamed,strong,1,262144,262144,29.2656,260.025
threaded,strong,1,262144,262144,122.609,286.021
threaded,strong,1,262144,262144,117.421,258.379
threaded,strong,1,262144,262144,117.161,258.381
threaded,strong,1,262144,262144,117.507,258.304
threaded,strong,1,262144,262144,194.27,260.086
threaded,strong,1,262144,262144,207.641,259.953
streamed,weak,1,262144,262144,9.1919,258.665
streamed,weak,1,262144,262144,8.86778,258.622
streamed,weak,1,262144,262144,7.18502,258.367
streamed,weak,1,262144,262144,9.05687,258.71
streamed,weak,1,262144,262144,27.9905,259.088
streamed,weak,1,262144,262144,29.141,260.066
threaded,weak,1,262144,262144,118.736,258.401
threaded,weak,1,262144,262144,118.505,259.131
threaded,weak,1,262144,262144,118.858,258.398
threaded,weak,1,262144,262144,119.368,258.422
threaded,weak,1,262144,262144,195.577,259.336
threaded,weak,1,262144,262144,208.358,260.141
streamed,strong,1,1048576,262144,7.26485,1032.23
streamed,strong,1,1048576,262144,6.9851,1033.9
streamed,strong,1,1048576,262144,7.32819,1037.85
streamed,strong,1,1048576,262144,7.35454,1040.12
streamed,strong,1,1048576,262144,30.5873,1043.39
streamed,strong,1,1048576,262144,29.1951,1046
threaded,strong,1,1048576,262144,118.94,1039.48
threaded,strong,1,1048576,262144,118.765,1039.85
threaded,strong,1,1048576,262144,126.038,1040.55
threaded,strong,1,1048576,262144,117.708,1040.16
threaded,strong,1,1048576,262144,197.902,1048.09
threaded,strong,1,1048576,262144,211.065,1046.92
streamed,weak,1,1048576,262144,7.67487,1071.36
streamed,weak,1,1048576,262144,7.86973,1042.34
streamed,weak,1,1048576,262144,7.34309,1044.01
streamed,weak,1,1048576,262144,7.1482,1046.45
streamed,weak,1,1048576,262144,28.3914,1049.43
streamed,weak,1,1048576,262144,29.6563,1052.17
threaded,weak,1,1048576,262144,119.367,1044.75
threaded,weak,1,1048576,262144,118.45,1048.98
threaded,weak,1,1048576,262144,119.006,1048.1
threaded,weak,1,1048576,262144,129.878,1050.68
threaded,weak,1,1048576,262144,197.047,1053.76
threaded,weak,1,1048576,262144,209.773,1053.04
streamed,strong,1,16777216,262144,7.21509,16922
streamed,strong,1,16777216,262144,7.34864,16978.2
streamed,strong,1,16777216,262144,7.1578,16958.6
streamed,strong,1,16777216,262144,7.34044,16961.9
streamed,strong,1,16777216,262144,30.4795,17049.8
streamed,strong,1,16777216,262144,28.6951,17058.3
threaded,strong,1,16777216,262144,124.394,17007.6
threaded,strong,1,16777216,262144,117.513,16971.5
threaded,strong,1,16777216,262144,118.295,16969.1
threaded,strong,1,16777216,262144,129.672,17010.1
threaded,strong,1,16777216,262144,203.045,17037.2
threaded,strong,1,16777216,262144,220.633,17110.5
streamed,weak,1,16777216,262144,7.53075,17036.3
streamed,weak,1,16777216,262144,7.23712,16971.2
streamed,weak,1,16777216,262144,7.36519,16981.7
streamed,weak,1,16777216,262144,7.40278,17040.9
streamed,weak,1,16777216,262144,28.0622,17005.9
streamed,weak,1,16777216,262144,31.289,17086.2
threaded,weak,1,16777216,262144,122.642,17052.7
threaded,weak,1,16777216,262144,118.313,17003.2
threaded,weak,1,16777216,262144,128.007,17031
threaded,weak,1,16777216,262144,117.795,16971.1
threaded,weak,1,16777216,262144,196.686,17016.8
threaded,weak,1,16777216,262144,213.888,17118.4
streamed,strong,1,67108864,262144,7.34288,67929.5
streamed,strong,1,67108864,262144,7.25984,68041
streamed,strong,1,67108864,262144,7.12368,67938.8
streamed,strong,1,67108864,262144,9.57253,67995.3
streamed,strong,1,67108864,262144,28.2046,68157.8
streamed,strong,1,67108864,262144,29.675,68513.9
threaded,strong,1,67108864,262144,125.071,67910.9
threaded,strong,1,67108864,262144,127.221,67948
threaded,strong,1,67108864,262144,125.669,67937.4
threaded,strong,1,67108864,262144,124.094,67926.9
threaded,strong,1,67108864,262144,206.78,68128.5
threaded,strong,1,67108864,262144,219.415,68434
streamed,weak,1,67108864,262144,7.4879,67948
streamed,weak,1,67108864,262144,7.50448,67942.7
streamed,weak,1,67108864,262144,7.39706,67965.6
streamed,weak,1,67108864,262144,7.27198,67957.9
streamed,weak,1,67108864,262144,28.4731,68179.2
streamed,weak,1,67108864,262144,29.1552,68367.7
threaded,weak,1,67108864,262144,126.662,67927.2
