Device_Selection_Policy,Prefetch,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
round-robin,true,strong,512,1,262144,262144,35.049923,943.3443
round-robin,true,strong,512,1,262144,262144,35.195583,989.3708
round-robin,true,strong,512,1,262144,262144,46.644657,967.61584
round-robin,true,strong,512,1,262144,262144,80.636375,954.9869
round-robin,true,strong,512,1,262144,262144,48.161003,879.40155
round-robin,true,strong,512,1,262144,262144,33.943306,884.5733
round-robin,true,strong,512,1,262144,262144,36.71277,1021.4728
round-robin,true,strong,512,1,262144,262144,57.16808,927.24945
round-robin,true,strong,512,1,262144,262144,122.35286,1034.7905
round-robin,true,strong,512,2,262144,262144,54.698788,795.901
round-robin,true,strong,512,2,262144,262144,41.881145,840.31366
round-robin,true,strong,512,2,262144,262144,75.9209,776.21857
round-robin,true,strong,512,2,262144,262144,44.071983,703.3755
round-robin,true,strong,512,2,262144,262144,43.67121,865.4424
round-robin,true,strong,512,2,262144,262144,46.963726,758.825
round-robin,true,strong,512,2,262144,262144,43.43309,782.5833
round-robin,true,strong,512,2,262144,262144,69.237495,750.83905
round-robin,true,strong,512,2,262144,262144,64.01362,851.3776
round-robin,false,strong,512,1,262144,262144,34.926815,934.68585
round-robin,false,strong,512,1,262144,262144,43.058018,894.1924
round-robin,false,strong,512,1,262144,262144,40.013638,935.2984
round-robin,false,strong,512,1,262144,262144,35.94722,943.1874
round-robin,false,strong,512,1,262144,262144,30.642332,979.31396
round-robin,false,strong,512,1,262144,262144,41.4311,939.2315
round-robin,false,strong,512,1,262144,262144,43.413986,923.3856
round-robin,false,strong,512,1,262144,262144,51.786636,976.4521
round-robin,false,strong,512,1,262144,262144,56.53089,1046.7413
round-robin,false,strong,512,2,262144,262144,41.69629,785.0147
round-robin,false,strong,512,2,262144,262144,37.252148,716.9374
round-robin,false,strong,512,2,262144,262144,37.517693,729.44366
round-robin,false,strong,512,2,262144,262144,43.654625,814.2336
round-robin,false,strong,512,2,262144,262144,48.30322,769.56274
round-robin,false,strong,512,2,262144,262144,66.93237,754.41064
round-robin,false,strong,512,2,262144,262144,45.208576,801.0054
round-robin,false,strong,512,2,262144,262144,66.983734,726.5717
round-robin,false,strong,512,2,262144,262144,60.031532,796.0298
round-robin,true,weak,512,1,262144,262144,48.307087,990.3782
round-robin,true,weak,512,1,262144,262144,40.71197,878.8719
round-robin,true,weak,512,1,262144,262144,37.467075,971.1949
round-robin,true,weak,512,1,262144,262144,36.10411,925.5538
round-robin,true,weak,512,1,262144,262144,34.82884,973.89935
round-robin,true,weak,512,1,262144,262144,40.192722,957.425
round-robin,true,weak,512,1,262144,262144,49.975586,1036.6143
round-robin,true,weak,512,1,262144,262144,55.42478,992.84375
round-robin,true,weak,512,1,262144,262144,72.21175,1040.7703
round-robin,true,weak,512,2,524288,262144,48.555958,1121.7222
round-robin,true,weak,512,2,524288,262144,47.207596,1133.3618
round-robin,true,weak,512,2,524288,262144,73.152115,1198.421
round-robin,true,weak,512,2,524288,262144,48.17147,1119.6057
round-robin,true,weak,512,2,524288,262144,50.57151,1052.4268
round-robin,true,weak,512,2,524288,262144,69.385185,1063.9424
round-robin,true,weak,512,2,524288,262144,51.479145,1157.6016
round-robin,true,weak,512,2,524288,262144,67.69327,1103.9979
round-robin,true,weak,512,2,524288,262144,82.26135,1210.2426
round-robin,false,weak,512,1,262144,262144,39.311226,999.1407
round-robin,false,weak,512,1,262144,262144,41.055763,930.8334
round-robin,false,weak,512,1,262144,262144,36.65935,1024.6292
round-robin,false,weak,512,1,262144,262144,36.5721,1040.8774
round-robin,false,weak,512,1,262144,262144,40.624107,880.0419
round-robin,false,weak,512,1,262144,262144,34.00056,1004.4867
round-robin,false,weak,512,1,262144,262144,33.848484,911.14905
round-robin,false,weak,512,1,262144,262144,60.207912,877.51904
round-robin,false,weak,512,1,262144,262144,60.65848,1059.3717
round-robin,false,weak,512,2,524288,262144,46.88674,1151.1438
round-robin,false,weak,512,2,524288,262144,40.750027,1056.734
round-robin,false,weak,512,2,524288,262144,43.277195,1099.334
round-robin,false,weak,512,2,524288,262144,33.790707,1147.9971
round-robin,false,weak,512,2,524288,262144,41.619274,1074.4338
round-robin,false,weak,512,2,524288,262144,38.779808,1132.9843
round-robin,false,weak,512,2,524288,262144,71.57247,1129.5234
round-robin,false,weak,512,2,524288,262144,64.70158,1053.4927
round-robin,false,weak,512,2,524288,262144,65.25944,1143.9641
round-robin,true,strong,1024,1,1048576,262144,45.770725,2355.2583
round-robin,true,strong,1024,1,1048576,262144,41.408875,2441.271
round-robin,true,strong,1024,1,1048576,262144,37.51772,2530.276
round-robin,true,strong,1024,1,1048576,262144,46.167206,2443.2178
round-robin,true,strong,1024,1,1048576,262144,33.989456,2431.3213
round-robin,true,strong,1024,1,1048576,262144,77.77038,2539.9001
round-robin,true,strong,1024,1,1048576,262144,34.470974,2360.5667
round-robin,true,strong,1024,1,1048576,262144,54.988483,2429.7053
round-robin,true,strong,1024,1,1048576,262144,57.713837,2454.8496
round-robin,true,strong,1024,2,1048576,262144,46.347248,1895.9926
round-robin,true,strong,1024,2,1048576,262144,48.516727,1867.3955
round-robin,true,strong,1024,2,1048576,262144,41.207386,1874.2858
round-robin,true,strong,1024,2,1048576,262144,44.85191,1804.2224
round-robin,true,strong,1024,2,1048576,262144,45.14548,1858.5981
round-robin,true,strong,1024,2,1048576,262144,43.42548,1888.3192
round-robin,true,strong,1024,2,1048576,262144,42.10559,1828.435
round-robin,true,strong,1024,2,1048576,262144,62.866688,1842.1498
round-robin,true,strong,1024,2,1048576,262144,74.55569,2104.5896
round-robin,false,strong,1024,1,1048576,262144,37.782623,2347.9268
round-robin,false,strong,1024,1,1048576,262144,38.215096,2458.461
round-robin,false,strong,1024,1,1048576,262144,36.38899,2408.5442
round-robin,false,strong,1024,1,1048576,262144,32.900436,2523.2021
round-robin,false,strong,1024,1,1048576,262144,42.287113,2457.0913
round-robin,false,strong,1024,1,1048576,262144,33.17723,2482.0244
round-robin,false,strong,1024,1,1048576,262144,37.381172,2503.4963
round-robin,false,strong,1024,1,1048576,262144,56.16916,2460.1477
round-robin,false,strong,1024,1,1048576,262144,57.010967,2459.7642
round-robin,false,strong,1024,2,1048576,262144,35.52846,1721.0994
round-robin,false,strong,1024,2,1048576,262144,36.627487,1831.4341
round-robin,false,strong,1024,2,1048576,262144,43.097652,1795.43
round-robin,false,strong,1024,2,1048576,262144,33.134724,1775.8793
round-robin,false,strong,1024,2,1048576,262144,43.245594,1882.075
round-robin,false,strong,1024,2,1048576,262144,38.134956,1823.1775
round-robin,false,strong,1024,2,1048576,262144,35.76873,1773.4215
round-robin,false,strong,1024,2,1048576,262144,56.28178,1883.6334
round-robin,false,strong,1024,2,1048576,262144,67.317764,1804.6201
round-robin,true,weak,1024,1,1048576,262144,37.634098,2452.6287
round-robin,true,weak,1024,1,1048576,262144,34.902756,2489.8157
round-robin,true,weak,1024,1,1048576,262144,39.102913,2452.5935
round-robin,true,weak,1024,1,1048576,262144,37.620823,2570.8489
round-robin,true,weak,1024,1,1048576,262144,37.754875,2462.7349
round-robin,true,weak,1024,1,1048576,262144,34.795258,2349.4614
round-robin,true,weak,1024,1,1048576,262144,41.67871,2354.5757
round-robin,true,weak,1024,1,1048576,262144,57.90057,2460.124
round-robin,true,weak,1024,1,1048576,262144,59.74586,2508.1482
round-robin,true,weak,1024,2,2097152,262144,38.319744,3362.4673
round-robin,true,weak,1024,2,2097152,262144,44.28009,3354.8547
round-robin,true,weak,1024,2,2097152,262144,53.06409,3277.0708
round-robin,true,weak,1024,2,2097152,262144,42.663948,3130.0525
round-robin,true,weak,1024,2,2097152,262144,43.378906,3394.8418
round-robin,true,weak,1024,2,2097152,262144,45.352882,3134.3416
round-robin,true,weak,1024,2,2097152,262144,46.40935,3307.4937
round-robin,true,weak,1024,2,2097152,262144,68.74951,3141.0535
round-robin,true,weak,1024,2,2097152,262144,72.65676,3736.1956
round-robin,false,weak,1024,1,1048576,262144,40.810047,2438.4023
round-robin,false,weak,1024,1,1048576,262144,42.600822,2453.2068
round-robin,false,weak,1024,1,1048576,262144,35.189785,2440.558
round-robin,false,weak,1024,1,1048576,262144,32.435123,2496.4587
round-robin,false,weak,1024,1,1048576,262144,36.244324,2422.6775
round-robin,false,weak,1024,1,1048576,262144,34.666233,2341.027
round-robin,false,weak,1024,1,1048576,262144,41.29523,2370.7483
round-robin,false,weak,1024,1,1048576,262144,55.432648,2478.382
round-robin,false,weak,1024,1,1048576,262144,58.553528,2580.7224
round-robin,false,weak,1024,2,2097152,262144,43.75569,3328.7454
round-robin,false,weak,1024,2,2097152,262144,41.77981,3406.9487
round-robin,false,weak,1024,2,2097152,262144,37.440804,3306.632
round-robin,false,weak,1024,2,2097152,262144,40.514744,3274.3477
round-robin,false,weak,1024,2,2097152,262144,41.421715,3183.0986
round-robin,false,weak,1024,2,2097152,262144,42.678562,3165.902
round-robin,false,weak,1024,2,2097152,262144,45.855377,3474.7175
round-robin,false,weak,1024,2,2097152,262144,65.92153,3189.568
round-robin,false,weak,1024,2,2097152,262144,56.562286,3571.425
round-robin,true,strong,4096,1,16777216,262144,42.14341,32324.338
round-robin,true,strong,4096,1,16777216,262144,36.225334,33912.1
round-robin,true,strong,4096,1,16777216,262144,38.70259,30973.406
round-robin,true,strong,4096,1,16777216,262144,35.384193,31425.414
round-robin,true,strong,4096,1,16777216,262144,38.693764,31380.568
round-robin,true,strong,4096,1,16777216,262144,33.241745,31186.055
round-robin,true,strong,4096,1,16777216,262144,36.548344,32590.996
round-robin,true,strong,4096,1,16777216,262144,57.578484,30877.854
round-robin,true,strong,4096,1,16777216,262144,58.998974,33451.336
round-robin,true,strong,4096,2,16777216,262144,48.360966,23467.582
round-robin,true,strong,4096,2,16777216,262144,37.72379,21549.145
round-robin,true,strong,4096,2,16777216,262144,36.718052,20656.729
round-robin,true,strong,4096,2,16777216,262144,39.1079,20800.225
round-robin,true,strong,4096,2,16777216,262144,37.05021,20727.166
round-robin,true,strong,4096,2,16777216,262144,36.48696,20046.385
round-robin,true,strong,4096,2,16777216,262144,48.170803,21669.496
round-robin,true,strong,4096,2,16777216,262144,65.45241,20419.479
round-robin,true,strong,4096,2,16777216,262144,65.57094,26033.87
round-robin,false,strong,4096,1,16777216,262144,34.832256,30856.23
round-robin,false,strong,4096,1,16777216,262144,35.084335,34194.977
round-robin,false,strong,4096,1,16777216,262144,35.6328,30559.74
round-robin,false,strong,4096,1,16777216,262144,33.725464,31609.81
round-robin,false,strong,4096,1,16777216,262144,40.08943,34463.062
round-robin,false,strong,4096,1,16777216,262144,32.59752,31015.709
round-robin,false,strong,4096,1,16777216,262144,34.034973,31779.16
round-robin,false,strong,4096,1,16777216,262144,50.76714,31118.9
round-robin,false,strong,4096,1,16777216,262144,59.02458,36230.55
round-robin,false,strong,4096,2,16777216,262144,36.73209,20561.205
round-robin,false,strong,4096,2,16777216,262144,38.534023,22916.56
round-robin,false,strong,4096,2,16777216,262144,43.802395,20737.984
round-robin,false,strong,4096,2,16777216,262144,37.18949,20367.646
round-robin,false,strong,4096,2,16777216,262144,34.616077,20777.19
round-robin,false,strong,4096,2,16777216,262144,32.87747,21010.41
round-robin,false,strong,4096,2,16777216,262144,33.353264,20573.941
round-robin,false,strong,4096,2,16777216,262144,53.61867,21822.682
round-robin,false,strong,4096,2,16777216,262144,64.87542,24653.95
round-robin,true,weak,4096,1,16777216,262144,44.528305,32664.588
round-robin,true,weak,4096,1,16777216,262144,34.79921,31030.02
round-robin,true,weak,4096,1,16777216,262144,41.713478,32171.883
round-robin,true,weak,4096,1,16777216,262144,39.7068,31284.518
round-robin,true,weak,4096,1,16777216,262144,38.273277,30764.742
round-robin,true,weak,4096,1,16777216,262144,39.34299,32212.867
round-robin,true,weak,4096,1,16777216,262144,36.92298,31050.81
round-robin,true,weak,4096,1,16777216,262144,61.913284,30580.543
round-robin,true,weak,4096,1,16777216,262144,57.177364,36406.11
round-robin,true,weak,4096,2,33554432,262144,40.14995,44633.824
round-robin,true,weak,4096,2,33554432,262144,37.26983,44120.773
round-robin,true,weak,4096,2,33554432,262144,38.456783,44824.016
round-robin,true,weak,4096,2,33554432,262144,41.257484,42822.445
round-robin,true,weak,4096,2,33554432,262144,41.185436,44679.91
