Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,weak,1,33554432,262144,115.189,85495.1
threaded,weak,1,33554432,262144,114.334,85694.5
threaded,weak,1,33554432,262144,113.788,85930.6
threaded,weak,1,33554432,262144,112.5,85658.4
threaded,weak,1,33554432,262144,114.746,85662
threaded,weak,1,33554432,262144,114.752,85684.9
threaded,weak,1,33554432,262144,115.117,85713.2
threaded,weak,1,33554432,262144,116.49,85714.7
threaded,weak,1,33554432,262144,115.425,85704.8
threaded,weak,1,33554432,262144,120.741,85693.4
threaded,weak,1,33554432,262144,116.937,85670.7
threaded,weak,1,33554432,262144,185.112,85776.8
streamed,weak,1,33554432,262144,9.46535,85703
streamed,weak,1,33554432,262144,9.35005,85719.7
streamed,weak,1,33554432,262144,9.44625,85686.4
streamed,weak,1,33554432,262144,9.41955,85677.6
streamed,weak,1,33554432,262144,9.29523,85665.2
streamed,weak,1,33554432,262144,9.63416,85681.8
streamed,weak,1,33554432,262144,9.53165,85681.6
streamed,weak,1,33554432,262144,9.40976,85675.4
streamed,weak,1,33554432,262144,9.35053,85704.4
streamed,weak,1,33554432,262144,9.61184,85696.2
streamed,weak,1,33554432,262144,9.4868,85706
streamed,weak,1,33554432,262144,29.8796,85775.9
threaded,strong,1,33554432,262144,118.175,85743.2
threaded,strong,1,33554432,262144,114.368,85712
threaded,strong,1,33554432,262144,114.946,85690.1
threaded,strong,1,33554432,262144,115.035,85695.6
threaded,strong,1,33554432,262144,117.149,85719.1
threaded,strong,1,33554432,262144,113.611,85691.3
threaded,strong,1,33554432,262144,114.55,85717.4
threaded,strong,1,33554432,262144,115.165,85718.2
threaded,strong,1,33554432,262144,114.163,85699.3
threaded,strong,1,33554432,262144,114.298,85663.8
threaded,strong,1,33554432,262144,114.232,85686.4
threaded,strong,1,33554432,262144,191.841,85769.9
streamed,strong,1,33554432,262144,9.55442,85727.1
streamed,strong,1,33554432,262144,9.40045,85706
streamed,strong,1,33554432,262144,9.69174,85724
streamed,strong,1,33554432,262144,9.52103,85722.5
streamed,strong,1,33554432,262144,9.40748,85702.9
streamed,strong,1,33554432,262144,10.1519,85705.2
streamed,strong,1,33554432,262144,9.49164,85736.3
streamed,strong,1,33554432,262144,10.1012,85692.2
streamed,strong,1,33554432,262144,9.27396,85678.7
streamed,strong,1,33554432,262144,9.37722,85678.7
streamed,strong,1,33554432,262144,10.2486,85679.1
streamed,strong,1,33554432,262144,29.8564,85782.9
